id,opponent,opponentName,start,end,PersonId,"Time (seconds)",id,name,icon,color,gender,"Age Group",favoriteActivity,height,zipcode,state,EVENT
20,fast-person,"Fast person","2018-08-25 15:07:29.106 +00:00","2018-08-25 15:07:32.662 +00:00",20,4.0,20,"Ignacio Hermiston III",triangle-up,#D3D406,male,Teen,Gaming,71,35242,AL,"Makevention 2018"
84,fast-animal,"Fast animal","2018-08-25 18:09:09.094 +00:00","2018-08-25 18:09:16.522 +00:00",84,7.0,84,"Julius Schulist DDS",triangle-up,#D39827,female,Teen,Cooking,44,46106,IN,"Makevention 2018"
87,fast-animal,"Fast animal","2018-08-25 18:40:16.144 +00:00","2018-08-25 18:40:24.444 +00:00",87,8.0,87,"Lela Marks",triangle-up,#55D4D2,female,Pre-Teen,Sports,11,46106,IN,"Makevention 2018"
56,cartoon-character,"Cartoon character","2018-08-25 17:05:20.488 +00:00","2018-08-25 17:05:23.374 +00:00",56,3.0,56,"Ayana White",square,#D36E44,female,Kid,Cooking,56,47265,IN,"Makevention 2018"
57,fast-animal,"Fast animal","2018-08-25 17:06:55.816 +00:00","2018-08-25 17:07:05.060 +00:00",57,9.0,57,"Amparo Jones",triangle-up,#D372D2,female,Pre-Teen,Gaming,58,47265,IN,"Makevention 2018"
58,fast-person,"Fast person","2018-08-25 17:07:49.084 +00:00","2018-08-25 17:07:53.014 +00:00",58,4.0,58,"Kim Russel",triangle-up,#8E1BCE,male,Teen,Art,56,47265,IN,"Makevention 2018"
59,fast-animal,"Fast animal","2018-08-25 17:09:57.142 +00:00","2018-08-25 17:10:02.668 +00:00",59,6.0,59,"Frederic Bode",triangle-up,#33820D,female,Teen,Other,58,47265,IN,"Makevention 2018"
60,cartoon-character,"Cartoon character","2018-08-25 17:10:23.800 +00:00","2018-08-25 17:10:27.776 +00:00",60,4.0,60,"Mr. Gerhard Fahey",square,#55D4D2,male,Pre-Teen,Gaming,56,47265,IN,"Makevention 2018"
61,fast-animal,"Fast animal","2018-08-25 17:11:24.640 +00:00","2018-08-25 17:11:28.256 +00:00",61,4.0,61,"Lorna Boyle",triangle-up,#8E1BCE,other,Pre-Teen,Gaming,58,47265,IN,"Makevention 2018"
62,fast-animal,"Fast animal","2018-08-25 17:12:18.504 +00:00","2018-08-25 17:12:22.598 +00:00",62,4.0,62,"Ramon Flatley",star,#D372D2,male,Retired,Cooking,62,47265,IN,"Makevention 2018"
63,fast-animal,"Fast animal","2018-08-25 17:13:06.512 +00:00","2018-08-25 17:13:08.118 +00:00",63,2.0,63,"Ofelia Farrell",diamond,#D3D406,male,Retired,Gaming,30,47265,IN,"Makevention 2018"
64,fast-animal,"Fast animal","2018-08-25 17:13:47.284 +00:00","2018-08-25 17:13:49.192 +00:00",64,2.0,64,"Wendell Bradtke",triangle-up,#D3D406,male,Adult,Gaming,678,47265,IN,"Makevention 2018"
70,fast-animal,"Fast animal","2018-08-25 17:21:08.220 +00:00","2018-08-25 17:21:15.138 +00:00",70,7.0,70,"Cindy Hahn",square,#9B180F,other,Retired,Other,56,47265,IN,"Makevention 2018"
71,fast-animal,"Fast animal","2018-08-25 17:22:18.726 +00:00","2018-08-25 17:22:27.276 +00:00",71,9.0,71,"Gregorio Casper",triangle-up,#0707D2,male,Teen,Gaming,72,47265,IN,"Makevention 2018"
72,slow-animal,"Slow animal","2018-08-25 17:22:59.360 +00:00","2018-08-25 17:23:05.606 +00:00",72,6.0,72,"Brooke King",triangle-up,#D372D2,female,Teen,Gaming,56,47265,IN,"Makevention 2018"
73,fast-animal,"Fast animal","2018-08-25 17:24:00.084 +00:00","2018-08-25 17:24:04.420 +00:00",73,4.0,73,"Waldo Tremblay PhD",square,#D3D406,female,Kid,Other,56,47265,IN,"Makevention 2018"
74,slow-person,"Slow person","2018-08-25 17:24:51.940 +00:00","2018-08-25 17:24:56.068 +00:00",74,4.0,74,"Kathlyn Wolf",diamond,#55D4D2,other,Kid,Art,56,47265,IN,"Makevention 2018"
75,cartoon-character,"Cartoon character","2018-08-25 17:25:47.838 +00:00","2018-08-25 17:25:51.942 +00:00",75,4.0,75,"Freda Rice",square,#D39827,other,Adult,Other,56,47265,IN,"Makevention 2018"
76,fast-animal,"Fast animal","2018-08-25 17:42:18.718 +00:00","2018-08-25 17:42:22.998 +00:00",76,4.0,76,"Chanel Wunsch",cross,#55D4D2,other,Pre-Teen,Gaming,58,47265,IN,"Makevention 2018"
77,cartoon-character,"Cartoon character","2018-08-25 17:47:13.908 +00:00","2018-08-25 17:47:17.492 +00:00",77,4.0,77,"Carroll Pfeffer",star,#33820D,other,Pre-Teen,Gaming,56,47265,IN,"Makevention 2018"
78,cartoon-character,"Cartoon character","2018-08-25 17:49:18.318 +00:00","2018-08-25 17:49:22.422 +00:00",78,4.0,78,"Isadore Parker",triangle-up,#D372D2,male,Pre-Teen,Cooking,56,47265,IN,"Makevention 2018"
79,slow-animal,"Slow animal","2018-08-25 17:52:03.252 +00:00","2018-08-25 17:52:07.170 +00:00",79,4.0,79,"Delpha Cruickshank",diamond,#9B180F,male,Pre-Teen,Other,56,47265,IN,"Makevention 2018"
