id,opponent,opponentName,start,end,PersonId,"Time (seconds)",id,name,icon,color,gender,"Age Group",favoriteActivity,height,zipcode,state,EVENT
83,fast-animal,"Fast animal","2018-08-25 18:02:37.348 +00:00","2018-08-25 18:02:41.134 +00:00",83,4.0,83,"Reba Rogahn",star,#D39827,other,Pre-Teen,Gaming,58,47265,IN,"Makevention 2018"
7,fast-animal,"Fast animal","2018-08-25 14:43:02.750 +00:00","2018-08-25 14:43:05.494 +00:00",7,3.0,7,"Roslyn Connelly",diamond,#D36E44,other,Adult,Gaming,70,47401,IN,"Makevention 2018"
14,cartoon-character,"Cartoon character","2018-08-25 14:56:05.012 +00:00","2018-08-25 14:56:19.186 +00:00",14,14.0,14,"Frances Wolff Sr.",cross,#D30706,other,Teen,Art,5,47401,IN,"Makevention 2018"
15,cartoon-character,"Cartoon character","2018-08-25 14:57:10.242 +00:00","2018-08-25 14:57:14.290 +00:00",15,4.0,15,"Rosie Legros MD",star,#D372D2,female,Teen,Gaming,5,47401,IN,"Makevention 2018"
18,fast-animal,"Fast animal","2018-08-25 15:02:25.556 +00:00","2018-08-25 15:02:28.958 +00:00",18,3.0,18,"Fritz Gerlach",cross,#D372D2,male,Adult,Gaming,70,47401,IN,"Makevention 2018"
22,fast-person,"Fast person","2018-08-25 15:18:14.894 +00:00","2018-08-25 15:18:18.276 +00:00",22,3.0,22,"Wellington Schuppe",cross,#D36E44,other,Adult,Gaming,70,47401,IN,"Makevention 2018"
30,fast-animal,"Fast animal","2018-08-25 15:52:28.266 +00:00","2018-08-25 15:52:35.580 +00:00",30,7.0,30,"Noemie Blick",cross,#D30706,male,Teen,Cooking,66,47401,IN,"Makevention 2018"
32,slow-animal,"Slow animal","2018-08-25 15:53:33.056 +00:00","2018-08-25 15:53:36.476 +00:00",32,3.0,32,"Darrion Schoen III",square,#8E1BCE,male,Teen,Cooking,66,47401,IN,"Makevention 2018"
33,fast-animal,"Fast animal","2018-08-25 15:54:57.584 +00:00","2018-08-25 15:55:01.428 +00:00",33,4.0,33,"Lindsay Gleason",square,#D36E44,male,Adult,Gaming,70,47401,IN,"Makevention 2018"
37,fast-person,"Fast person","2018-08-25 16:03:59.952 +00:00","2018-08-25 16:04:05.512 +00:00",37,6.0,37,"Vesta Romaguera",star,#0707D2,male,Adult,Cooking,67,47401,IN,"Makevention 2018"
50,fast-animal,"Fast animal","2018-08-25 16:23:22.300 +00:00","2018-08-25 16:23:26.258 +00:00",50,4.0,50,"Dr. Heber Prosacco",cross,#D3D406,other,Adult,Other,81,47401,IN,"Makevention 2018"
89,fast-animal,"Fast animal","2018-08-25 19:15:37.808 +00:00",,89,,89,"Hannah Conn",cross,#0707D2,male,Teen,Art,57,47401,IN,"Makevention 2018"
90,fast-animal,"Fast animal","2018-08-25 19:16:54.558 +00:00","2018-08-25 19:17:09.510 +00:00",90,15.0,90,"Maryam Volkman",square,#55D4D2,male,Retired,Sports,57,47401,IN,"Makevention 2018"
91,fast-animal,"Fast animal","2018-08-25 19:18:08.762 +00:00","2018-08-25 19:18:16.950 +00:00",91,8.0,91,"Anabel Kris",star,#D30706,male,Kid,Gaming,45,47401,IN,"Makevention 2018"
92,fast-animal,"Fast animal","2018-08-25 19:18:58.072 +00:00","2018-08-25 19:19:02.680 +00:00",92,5.0,92,"Terence Schaden",diamond,#9B180F,female,Teen,Gaming,45,47401,IN,"Makevention 2018"
93,slow-person,"Slow person","2018-08-25 19:22:40.274 +00:00","2018-08-25 19:22:45.000 +00:00",93,5.0,93,"Tyrell Renner",cross,#D30706,other,Retired,Sports,45,47401,IN,"Makevention 2018"
34,fast-animal,"Fast animal","2018-08-25 15:58:51.120 +00:00","2018-08-25 15:58:55.820 +00:00",34,5.0,34,"Caleb Effertz",triangle-up,#D36E44,other,Adult,Other,48,47403,IN,"Makevention 2018"
35,cartoon-character,"Cartoon character","2018-08-25 15:59:51.696 +00:00","2018-08-25 15:59:55.822 +00:00",35,4.0,35,"Madison Will",diamond,#D39827,male,Teen,Sports,47,47403,IN,"Makevention 2018"
36,cartoon-character,"Cartoon character","2018-08-25 16:03:04.492 +00:00","2018-08-25 16:03:10.202 +00:00",36,6.0,36,"Holly Bailey",square,#D372D2,male,Teen,Gaming,68,47403,IN,"Makevention 2018"
46,slow-person,"Slow person","2018-08-25 16:15:03.726 +00:00","2018-08-25 16:15:09.188 +00:00",46,5.0,46,"Russel Friesen II",star,#D3D406,female,Adult,Art,68,47403,IN,"Makevention 2018"
82,fast-person,"Fast person","2018-08-25 18:00:13.998 +00:00","2018-08-25 18:00:22.146 +00:00",82,8.0,82,"Dr. Blaze Armstrong",triangle-up,#D30706,other,Kid,Sports,7894,47403,IN,"Makevention 2018"
85,fast-animal,"Fast animal","2018-08-25 18:33:25.388 +00:00","2018-08-25 18:33:29.618 +00:00",85,4.0,85,"Ransom Sipes",star,#55D4D2,female,Teen,Gaming,68,47403,IN,"Makevention 2018"
10,fast-animal,"Fast animal","2018-08-25 14:47:04.596 +00:00","2018-08-25 14:47:12.520 +00:00",10,8.0,10,"Destini Dach",cross,#D30706,other,Adult,Sports,73,47404,IN,"Makevention 2018"
19,fast-animal,"Fast animal","2018-08-25 15:03:47.074 +00:00","2018-08-25 15:03:53.404 +00:00",19,6.0,19,"Soledad Lind",star,#D3D406,female,Adult,Other,73,47404,IN,"Makevention 2018"
28,slow-person,"Slow person","2018-08-25 15:38:19.632 +00:00","2018-08-25 15:38:34.516 +00:00",28,15.0,28,"Tatyana Will",triangle-up,#33820D,other,Kid,Gaming,48,47404,IN,"Makevention 2018"
29,fast-animal,"Fast animal","2018-08-25 15:39:07.102 +00:00","2018-08-25 15:39:13.436 +00:00",29,6.0,29,"Roman Lakin",star,#D39827,other,Adult,Gaming,49,47404,IN,"Makevention 2018"
47,cartoon-character,"Cartoon character","2018-08-25 16:18:27.432 +00:00","2018-08-25 16:18:29.750 +00:00",47,2.0,47,"Coby Schneider",triangle-up,#8E1BCE,female,Adult,Art,73,47404,IN,"Makevention 2018"
1,fast-animal,"Fast animal","2018-08-25 14:36:21.094 +00:00","2018-08-25 14:36:24.182 +00:00",1,3.0,1,"Isaias Schowalter",diamond,#9B180F,male,Pre-Teen,Gaming,48,47408,IN,"Makevention 2018"
2,fast-person,"Fast person","2018-08-25 14:37:45.454 +00:00","2018-08-25 14:37:48.436 +00:00",2,3.0,2,"Heather Wolf",cross,#D372D2,other,Teen,Art,78,47408,IN,"Makevention 2018"
3,fast-animal,"Fast animal","2018-08-25 14:38:51.384 +00:00","2018-08-25 14:38:59.454 +00:00",3,8.0,3,"Carlie Schoen",cross,#D39827,other,Pre-Teen,Gaming,48,47408,IN,"Makevention 2018"
4,cartoon-character,"Cartoon character","2018-08-25 14:39:39.368 +00:00","2018-08-25 14:39:42.618 +00:00",4,3.0,4,"Brody Stoltenberg",diamond,#D39827,other,Pre-Teen,Cooking,57,47408,IN,"Makevention 2018"
5,cartoon-character,"Cartoon character","2018-08-25 14:40:53.440 +00:00","2018-08-25 14:40:56.766 +00:00",5,3.0,5,"Dr. Jeff Davis",star,#0707D2,male,Pre-Teen,Art,78,47408,IN,"Makevention 2018"
6,fast-animal,"Fast animal","2018-08-25 14:42:19.272 +00:00","2018-08-25 14:42:22.366 +00:00",6,3.0,6,"Dan Durgan",square,#D372D2,other,Retired,Sports,7,47408,IN,"Makevention 2018"
8,cartoon-character,"Cartoon character","2018-08-25 14:45:02.090 +00:00","2018-08-25 14:45:05.176 +00:00",8,3.0,8,"Dixie Casper",triangle-up,#8E1BCE,other,Adult,Gaming,73,47408,IN,"Makevention 2018"
9,fast-person,"Fast person","2018-08-25 14:46:21.412 +00:00","2018-08-25 14:46:24.354 +00:00",9,3.0,9,"Lempi Lindgren Jr.",cross,#33820D,female,Pre-Teen,Sports,48,47408,IN,"Makevention 2018"
11,fast-animal,"Fast animal","2018-08-25 14:49:23.288 +00:00","2018-08-25 14:49:26.784 +00:00",11,3.0,11,"Kamryn McClure",triangle-up,#D30706,other,Pre-Teen,Gaming,48,47408,IN,"Makevention 2018"
12,fast-person,"Fast person","2018-08-25 14:51:32.568 +00:00","2018-08-25 14:51:35.790 +00:00",12,3.0,12,"Lucinda Mosciski",diamond,#D3D406,other,Pre-Teen,Gaming,48,47408,IN,"Makevention 2018"
13,fast-animal,"Fast animal","2018-08-25 14:54:24.952 +00:00","2018-08-25 14:54:32.178 +00:00",13,7.0,13,"Mrs. Luella Bartoletti",diamond,#D36E44,other,Pre-Teen,Art,50,47408,IN,"Makevention 2018"
16,fast-animal,"Fast animal","2018-08-25 14:57:49.906 +00:00","2018-08-25 14:58:03.450 +00:00",16,14.0,16,"Roel Runolfsson DVM",cross,#55D4D2,male,Pre-Teen,Art,50,47408,IN,"Makevention 2018"
17,fast-animal,"Fast animal","2018-08-25 14:59:08.986 +00:00","2018-08-25 14:59:13.028 +00:00",17,4.0,17,"Wendell Satterfield",cross,#0707D2,other,Pre-Teen,Art,50,47408,IN,"Makevention 2018"
21,fast-person,"Fast person","2018-08-25 15:17:49.542 +00:00","2018-08-25 15:17:52.660 +00:00",21,3.0,21,"William Kub",cross,#D372D2,male,Pre-Teen,Gaming,48,47408,IN,"Makevention 2018"
23,fast-animal,"Fast animal","2018-08-25 15:18:48.206 +00:00","2018-08-25 15:18:51.388 +00:00",23,3.0,23,"Ms. Tyree Schaefer",square,#33820D,female,Pre-Teen,Gaming,48,47408,IN,"Makevention 2018"
24,fast-animal,"Fast animal","2018-08-25 15:24:20.996 +00:00","2018-08-25 15:24:23.062 +00:00",24,2.0,24,"Jordon Boehm",cross,#D30706,male,Pre-Teen,Gaming,48,47408,IN,"Makevention 2018"
25,fast-animal,"Fast animal","2018-08-25 15:29:49.840 +00:00","2018-08-25 15:29:59.248 +00:00",25,9.0,25,"Lacey Dare",diamond,#9B180F,female,Adult,Other,68,47408,IN,"Makevention 2018"
26,cartoon-character,"Cartoon character","2018-08-25 15:30:56.162 +00:00","2018-08-25 15:31:00.832 +00:00",26,5.0,26,"Emilio Cremin",diamond,#33820D,other,Adult,Other,68,47408,IN,"Makevention 2018"
31,fast-animal,"Fast animal","2018-08-25 15:53:01.886 +00:00","2018-08-25 15:53:04.938 +00:00",31,3.0,31,"Marjolaine Shanahan",diamond,#D30706,female,Pre-Teen,Gaming,48,47408,IN,"Makevention 2018"
38,cartoon-character,"Cartoon character","2018-08-25 16:04:46.424 +00:00","2018-08-25 16:04:47.800 +00:00",38,1.0,38,"Alta Reinger",triangle-up,#9B180F,other,Pre-Teen,Gaming,48,47408,IN,"Makevention 2018"
39,fast-animal,"Fast animal","2018-08-25 16:05:34.276 +00:00","2018-08-25 16:05:37.652 +00:00",39,3.0,39,"Eda Donnelly",star,#0707D2,male,Pre-Teen,Gaming,48,47408,IN,"Makevention 2018"
40,fast-animal,"Fast animal","2018-08-25 16:07:31.494 +00:00","2018-08-25 16:07:34.464 +00:00",40,3.0,40,"Jewel Kuhic",triangle-up,#D39827,other,Teen,Other,67,47408,IN,"Makevention 2018"
41,fast-person,"Fast person","2018-08-25 16:08:27.826 +00:00","2018-08-25 16:08:30.828 +00:00",41,3.0,41,"Imogene Stanton",star,#55D4D2,male,Pre-Teen,Gaming,48,47408,IN,"Makevention 2018"
42,fast-person,"Fast person","2018-08-25 16:09:01.868 +00:00","2018-08-25 16:09:07.348 +00:00",42,5.0,42,"Selina Fay",cross,#D3D406,female,Pre-Teen,Gaming,48,47408,IN,"Makevention 2018"
43,fast-animal,"Fast animal","2018-08-25 16:09:44.920 +00:00","2018-08-25 16:09:47.974 +00:00",43,3.0,43,"Josh Kunde DDS",triangle-up,#D372D2,female,Pre-Teen,Gaming,48,47408,IN,"Makevention 2018"
44,fast-animal,"Fast animal","2018-08-25 16:10:40.994 +00:00","2018-08-25 16:10:45.470 +00:00",44,4.0,44,"Ms. Hope Leannon",square,#8E1BCE,other,Pre-Teen,Gaming,48,47408,IN,"Makevention 2018"
45,fast-animal,"Fast animal","2018-08-25 16:13:36.286 +00:00","2018-08-25 16:13:39.694 +00:00",45,3.0,45,"Anjali Price Sr.",star,#33820D,female,Pre-Teen,Gaming,48,47408,IN,"Makevention 2018"
48,slow-person,"Slow person","2018-08-25 16:21:32.040 +00:00","2018-08-25 16:21:35.690 +00:00",48,4.0,48,"Alexander Schroeder",star,#0707D2,other,Retired,Other,37,47408,IN,"Makevention 2018"
49,slow-person,"Slow person","2018-08-25 16:21:58.476 +00:00","2018-08-25 16:22:02.550 +00:00",49,4.0,49,"Uriel Monahan",diamond,#0707D2,other,Pre-Teen,Other,37,47408,IN,"Makevention 2018"
51,slow-person,"Slow person","2018-08-25 17:00:38.318 +00:00","2018-08-25 17:00:44.470 +00:00",51,6.0,51,"Keeley Bradtke",triangle-up,#55D4D2,male,Retired,Other,30,47408,IN,"Makevention 2018"
52,slow-person,"Slow person","2018-08-25 17:01:18.044 +00:00","2018-08-25 17:01:21.026 +00:00",52,3.0,52,"Earlene Labadie",square,#D372D2,other,Pre-Teen,Gaming,58,47408,IN,"Makevention 2018"
53,fast-animal,"Fast animal","2018-08-25 17:01:52.404 +00:00","2018-08-25 17:02:01.788 +00:00",53,9.0,53,"Darryl Fay",star,#D30706,male,Pre-Teen,Cooking,56,47408,IN,"Makevention 2018"
54,fast-animal,"Fast animal","2018-08-25 17:02:41.150 +00:00","2018-08-25 17:02:44.196 +00:00",54,3.0,54,"Darren Howell",cross,#D36E44,female,Teen,Art,64,47408,IN,"Makevention 2018"
55,fast-animal,"Fast animal","2018-08-25 17:03:34.320 +00:00","2018-08-25 17:03:37.242 +00:00",55,3.0,55,"Dr. Melvin Carter",square,#D39827,other,Pre-Teen,Gaming,1234567890,47408,IN,"Makevention 2018"
65,fast-animal,"Fast animal","2018-08-25 17:14:33.604 +00:00","2018-08-25 17:14:35.990 +00:00",65,2.0,65,"Emmalee Howe",square,#8E1BCE,male,Retired,Other,67,47408,IN,"Makevention 2018"
67,fast-animal,"Fast animal","2018-08-25 17:16:50.812 +00:00","2018-08-25 17:16:54.856 +00:00",67,4.0,67,"Ross Murazik",triangle-up,#0707D2,other,Pre-Teen,Gaming,56,47408,IN,"Makevention 2018"
80,fast-animal,"Fast animal","2018-08-25 17:57:12.250 +00:00","2018-08-25 17:57:19.172 +00:00",80,7.0,80,"Josephine Veum",cross,#D372D2,male,Adult,Gaming,52,47408,IN,"Makevention 2018"
81,fast-animal,"Fast animal","2018-08-25 17:57:41.402 +00:00","2018-08-25 17:57:44.968 +00:00",81,4.0,81,"Jaden Boehm IV",cross,#D30706,female,Adult,Other,52,47408,IN,"Makevention 2018"
86,fast-animal,"Fast animal","2018-08-25 18:38:33.008 +00:00",,86,,86,"Missouri Pfeffer",star,#0707D2,other,Adult,Other,66,47408,IN,"Makevention 2018"
88,slow-person,"Slow person","2018-08-25 18:40:54.814 +00:00","2018-08-25 18:41:01.286 +00:00",88,6.0,88,"Bryana Schneider",diamond,#D3D406,female,Adult,Other,66,47408,IN,"Makevention 2018"
94,fast-animal,"Fast animal","2018-08-25 19:36:51.876 +00:00",,94,,94,"Bud Fritsch",star,#55D4D2,female,Pre-Teen,Cooking,64,47408,IN,"Makevention 2018"
95,slow-animal,"Slow animal","2018-08-25 19:37:31.128 +00:00","2018-08-25 19:37:33.902 +00:00",95,3.0,95,"Destini MacGyver",cross,#0707D2,other,Pre-Teen,Other,64,47408,IN,"Makevention 2018"
68,fast-animal,"Fast animal","2018-08-25 17:18:32.936 +00:00","2018-08-25 17:18:36.808 +00:00",68,4.0,68,"Freida Lehner",triangle-up,#D3D406,male,Retired,Gaming,1,47581,IN,"Makevention 2018"
69,fast-person,"Fast person","2018-08-25 17:19:43.608 +00:00","2018-08-25 17:19:47.366 +00:00",69,4.0,69,"Hermann Fahey",star,#0707D2,female,Adult,Gaming,97,47586,IN,"Makevention 2018"
66,cartoon-character,"Cartoon character","2018-08-25 17:16:13.990 +00:00","2018-08-25 17:16:15.952 +00:00",66,2.0,66,"Abel Treutel",star,#D372D2,other,Teen,Sports,7,48768,MI,"Makevention 2018"
27,fast-person,"Fast person","2018-08-25 15:31:38.640 +00:00","2018-08-25 15:31:42.290 +00:00",27,4.0,27,"Allison Zboncak",triangle-up,#D39827,other,Adult,Art,72,88001,NM,"Makevention 2018"
